method,description,names,ontology phrase(s),notes
"android.accounts.AccountManager.getAuthToken(Account account, String authTokenType, Bundle options, boolean notifyAuthFailure, AccountManagerCallback< Bundle> callback, Handler handler)","Gets an auth token of the specified type for a particular account, optionally raising a notification if the user must enter credentials.",account auth token,,not platform specific
android.location.Address.getAdminArea(),"Returns the administrative area name of the address, for example, 'CA', or null if it is unknown",administrative area,location_tags,
android.location.Location.getAltitude(),"Get the altitude if available, in meters above the WGS 84 reference ellipsoid.",altitude,gps_information,
"android.content.pm.PackageManager.getApplicationInfo(String packageName, int flags)",Retrieve all of the information we know about a particular package/application.,"application information, app name, app path, app permissions, app process name, app sdk version, app uid, screen size","unique_application_number, application_software",
"android.test.mock.MockPackageManager.getApplicationInfo(String packageName, int flags)",Retrieve all of the information we know about a particular package/application.,"application information, app name, app path, app permissions, app process name, app sdk version, app uid, screen size","unique_application_number, application_software",
android.hardware.Camera.open(),Creates a new Camera object to access the first back-facing camera on the device.,back-facing camera,,
"android.app.backup.BackupDataInput.readEntityData(byte[] data, int offset, int size)",Read a record's raw data from the restore stream.,backup data,data,
android.location.Location.getBearing(),"Get the bearing, in degrees.",bearing,gps_information,
"android.location.LocationManager.getBestProvider(Criteria criteria, boolean enabledOnly)",Returns the name of the provider that best meets the given criteria.,best location provider,"carrier_network, cell_towers, gps",
android.bluetooth.BluetoothAdapter.getState(),Get the current state of the local Bluetooth adapter.,bluetooth adapter status,bluetooth_settings,
android.bluetooth.BluetoothAdapter.isEnabled(),Return true if Bluetooth is currently enabled and ready for use.,bluetooth adapter status,bluetooth_settings,
android.bluetooth.BluetoothClass.getDeviceClass(),Return the (major and minor) device class component of this BluetoothClass.,bluetooth device class,bluetooth_settings,
android.bluetooth.BluetoothClass.getMajorDeviceClass(),Return the major device class component of this BluetoothClass.,bluetooth device class,bluetooth_settings,
android.bluetooth.BluetoothDevice.getBluetoothClass(),Get the Bluetooth class of the remote device.,bluetooth device class,bluetooth_settings,
android.bluetooth.BluetoothDevice.getName(),Get the friendly Bluetooth name of the remote device.,bluetooth device name,bluetooth_settings,
android.bluetooth.BluetoothAdapter.getAddress(),Returns the hardware address of the local Bluetooth adapter.,bluetooth hardware address,bluetooth_settings,
android.bluetooth.BluetoothAdapter.getState(),Get the current state of the local Bluetooth adapter.,bluetooth status,bluetooth_settings,
android.bluetooth.BluetoothAdapter.getBondedDevices(),Return the set of BluetoothDevice objects that are bonded (paired) to the local adapter.,bonded bluetooth devices,bluetooth_settings,
android.webkit.WebSettings.getUserAgentString(),Gets the WebView's user-agent string.,browser user agent,browser_type,
android.webkit.WebSettings.getDefaultUserAgent(Context context),Returns the default User-Agent used by a WebView.,"browser user agent, browser type, browser version, browser language","browser_type, browser_language, application_version_number",
android.hardware.Camera.startPreview(),Starts capturing and drawing preview frames to the screen.,camera preview,,
android.app.admin.DevicePolicyManager.getCameraDisabled(ComponentName admin),"Determine whether or not the device's cameras have been disabled for this user, either by the current admin, if specified, or all admins.",camera status,,
